epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,161.396,0.28567,0.33985,0.82651,0.99746,1,0.995,0.96359,0.36055,0.26671,0.78737,0.0005942,0.0005942,0.0005942
73,163.791,0.29653,0.34277,0.83363,0.99746,1,0.995,0.96973,0.33382,0.27585,0.78628,0.0005744,0.0005744,0.0005744
74,166.066,0.27772,0.33528,0.82105,0.99744,1,0.995,0.96195,0.29981,0.2129,0.79178,0.0005546,0.0005546,0.0005546
75,168.399,0.28574,0.3293,0.83587,0.9974,1,0.995,0.96881,0.28012,0.21048,0.78663,0.0005348,0.0005348,0.0005348
76,170.814,0.28531,0.33198,0.82809,0.99743,1,0.995,0.98778,0.25149,0.21233,0.78599,0.000515,0.000515,0.000515
77,173.064,0.2834,0.32283,0.83864,0.99741,1,0.995,0.9761,0.26139,0.20612,0.79064,0.0004952,0.0004952,0.0004952
78,175.432,0.2749,0.32268,0.82424,0.99738,1,0.995,0.96195,0.30251,0.20076,0.7973,0.0004754,0.0004754,0.0004754
79,177.663,0.27393,0.33098,0.82941,0.9974,1,0.995,0.97006,0.30005,0.23047,0.79265,0.0004556,0.0004556,0.0004556
80,179.869,0.28852,0.32249,0.83347,0.99738,1,0.995,0.95563,0.27166,0.2406,0.78579,0.0004358,0.0004358,0.0004358
81,182.211,0.25576,0.308,0.81797,0.99733,1,0.995,0.9676,0.23464,0.19513,0.78576,0.000416,0.000416,0.000416
82,184.408,0.26895,0.29957,0.8208,0.99734,1,0.995,0.97609,0.23028,0.17398,0.7869,0.0003962,0.0003962,0.0003962
83,186.62,0.26199,0.30181,0.84053,0.99731,1,0.995,0.96738,0.25114,0.1976,0.78518,0.0003764,0.0003764,0.0003764
84,189.002,0.27958,0.32105,0.82473,0.99728,1,0.995,0.98578,0.2545,0.20973,0.78479,0.0003566,0.0003566,0.0003566
85,191.238,0.25926,0.30201,0.81555,0.99729,1,0.995,0.97609,0.25213,0.1985,0.78524,0.0003368,0.0003368,0.0003368
86,193.484,0.25059,0.28741,0.83151,0.99727,1,0.995,0.97609,0.23033,0.19196,0.78471,0.000317,0.000317,0.000317
87,196.027,0.25959,0.29878,0.84143,0.99733,1,0.995,0.96881,0.24223,0.19879,0.78308,0.0002972,0.0002972,0.0002972
88,198.204,0.2553,0.3027,0.81647,0.99734,1,0.995,0.96956,0.2538,0.19939,0.78381,0.0002774,0.0002774,0.0002774
89,200.422,0.24328,0.28228,0.83198,0.99741,1,0.995,0.96956,0.25279,0.20979,0.78457,0.0002576,0.0002576,0.0002576
90,202.655,0.24353,0.28825,0.82183,0.99742,1,0.995,0.96846,0.23701,0.18984,0.7843,0.0002378,0.0002378,0.0002378
91,207.707,0.246,0.38147,0.80884,0.99744,1,0.995,0.97794,0.22783,0.18935,0.78417,0.000218,0.000218,0.000218
92,210.226,0.22978,0.33409,0.79607,0.99744,1,0.995,0.98853,0.23065,0.21832,0.78307,0.0001982,0.0001982,0.0001982
93,212.442,0.23244,0.32462,0.79958,0.99748,1,0.995,0.96739,0.24742,0.23946,0.7839,0.0001784,0.0001784,0.0001784
94,214.741,0.23922,0.33588,0.79194,0.99744,1,0.995,0.96739,0.24881,0.2301,0.78369,0.0001586,0.0001586,0.0001586
95,217.099,0.21563,0.30991,0.78023,0.99742,1,0.995,0.97654,0.25166,0.2205,0.78314,0.0001388,0.0001388,0.0001388
96,219.577,0.20791,0.30303,0.80761,0.99739,1,0.995,0.96738,0.24212,0.21688,0.78267,0.000119,0.000119,0.000119
97,222.002,0.19446,0.30137,0.77286,0.99735,1,0.995,0.97609,0.23821,0.21436,0.7824,9.92e-05,9.92e-05,9.92e-05
98,224.209,0.21102,0.29581,0.83532,0.99736,1,0.995,0.96979,0.23206,0.21948,0.78112,7.94e-05,7.94e-05,7.94e-05
99,226.523,0.20985,0.29497,0.8078,0.99735,1,0.995,0.98877,0.23634,0.2347,0.78118,5.96e-05,5.96e-05,5.96e-05
100,228.824,0.20016,0.28746,0.8013,0.99737,1,0.995,0.98852,0.23879,0.23707,0.78101,3.98e-05,3.98e-05,3.98e-05
